feature_symbol	ensembl_id	entrezgene	TenX_symbol	hgnc_symbol	chromosome	biotype	description	gc_content
AL359881.3	ENSG00000270171	NA	RP11-338N10.1	NA	1	lincRNA	NA	47.94
AL359881.2	ENSG00000270035	NA	RP11-338N10.2	NA	1	lincRNA	NA	55.26
AL359881.1	ENSG00000269978	NA	RP11-338N10.3	NA	1	lincRNA	NA	38.2
VAMP3	ENSG00000049245	9341	VAMP3	VAMP3	1	protein_coding	vesicle associated membrane protein 3	42.77
PER3	ENSG00000049246	8863	PER3	PER3	1	protein_coding	period circadian regulator 3	40.53
Z98884.1	ENSG00000236266	NA	RP3-467L1.4	NA	1	antisense	NA	39.14
UTS2	ENSG00000049247	10911	UTS2	UTS2	1	protein_coding	urotensin 2	40.81
TNFRSF9	ENSG00000049249	3604	TNFRSF9	TNFRSF9	1	protein_coding	TNF receptor superfamily member 9	43.95
PARK7	ENSG00000116288	11315	PARK7	PARK7	1	protein_coding	Parkinsonism associated deglycase	45.41
ERRFI1	ENSG00000116285	54206	ERRFI1	ERRFI1	1	protein_coding	ERBB receptor feedback inhibitor 1	42.8
AL034417.2	ENSG00000238290	NA	RP11-431K24.1	NA	1	lincRNA	NA	43.05
LINC01714	ENSG00000227634	NA	RP11-431K24.3	LINC01714	1	lincRNA	long intergenic non-protein coding RNA 1714	49.45
AL358876.2	ENSG00000233645	NA	RP11-431K24.4	NA	1	lincRNA	NA	47.39
SLC45A1	ENSG00000162426	50651	SLC45A1	SLC45A1	1	protein_coding	solute carrier family 45 member 1	52.36
RERE	ENSG00000142599	473	RERE	RERE	1	protein_coding	arginine-glutamic acid dipeptide repeats	41.9
AL096855.1	ENSG00000232912	NA	RP5-1115A15.1	NA	1	antisense	NA	45
AL357552.2	ENSG00000228423	NA	RP4-633I8.4	NA	1	lincRNA	NA	44.71
ENO1	ENSG00000074800	2023	ENO1	ENO1	1	protein_coding	enolase 1	50.23
ENO1-AS1	ENSG00000230679	NA	ENO1-AS1	ENO1-AS1	1	antisense	ENO1 antisense RNA 1	59.53
CA6	ENSG00000131686	765	CA6	CA6	1	protein_coding	carbonic anhydrase 6	48.06
SLC2A7	ENSG00000197241	155184	SLC2A7	SLC2A7	1	protein_coding	solute carrier family 2 member 7	52.44
SLC2A5	ENSG00000142583	6518	SLC2A5	SLC2A5	1	protein_coding	solute carrier family 2 member 5	47.92
GPR157	ENSG00000180758	80045	GPR157	GPR157	1	protein_coding	G protein-coupled receptor 157	50.06
MIR34AHG	ENSG00000228526	NA	MIR34AHG	MIR34AHG	1	lincRNA	MIR34A host gene	51.09
LINC01759	ENSG00000234546	NA	RP3-510D11.2	LINC01759	1	lincRNA	long intergenic non-protein coding RNA 1759	51.64
ENSG00000281937	NA	NA	RP3-510D11.4	NA	NA	NA	NA	NA
H6PD	ENSG00000049239	9563	H6PD	H6PD	1	protein_coding	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	52.29
SPSB1	ENSG00000171621	80176	SPSB1	SPSB1	1	protein_coding	splA/ryanodine receptor domain and SOCS box containing 1	54.29
AL928921.1	ENSG00000235263	NA	RP13-392I16.1	NA	1	lincRNA	NA	46.09
SLC25A33	ENSG00000171612	84275	SLC25A33	SLC25A33	1	protein_coding	solute carrier family 25 member 33	45.5
TMEM201	ENSG00000188807	199953	TMEM201	TMEM201	1	protein_coding	transmembrane protein 201	59.34
PIK3CD	ENSG00000171608	5293	PIK3CD	PIK3CD	1	protein_coding	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	51.33
PIK3CD-AS1	ENSG00000179840	NA	PIK3CD-AS1	PIK3CD-AS1	1	antisense	PIK3CD antisense RNA 1	55.29
PIK3CD-AS2	ENSG00000231789	NA	PIK3CD-AS2	PIK3CD-AS2	1	antisense	PIK3CD antisense RNA 2	49.65
CLSTN1	ENSG00000171603	22883	CLSTN1	CLSTN1	1	protein_coding	calsyntenin 1	47.37
AL357140.3	ENSG00000280113	NA	AL357140.1	NA	1	TEC	NA	47.96
CTNNBIP1	ENSG00000178585	56998	CTNNBIP1	CTNNBIP1	1	protein_coding	catenin beta interacting protein 1	51.39
AL357140.1	ENSG00000223989	NA	RP11-84A14.5	NA	1	antisense	NA	58.03
LZIC	ENSG00000162441	84328	LZIC	LZIC	1	protein_coding	leucine zipper and CTNNBIP1 domain containing	43.89
NMNAT1	ENSG00000173614	64802	NMNAT1	NMNAT1	1	protein_coding	nicotinamide nucleotide adenylyltransferase 1	46.13
RBP7	ENSG00000162444	116362	RBP7	RBP7	1	protein_coding	retinol binding protein 7	48.33
UBE4B	ENSG00000130939	10277	UBE4B	UBE4B	1	protein_coding	ubiquitination factor E4B	44.12
KIF1B	ENSG00000054523	23095	KIF1B	KIF1B	1	protein_coding	kinesin family member 1B	41.99
PGD	ENSG00000142657	5226	PGD	PGD	1	protein_coding	phosphogluconate dehydrogenase	47.69
AL139424.1	ENSG00000271989	NA	RP4-736L20.3	NA	1	antisense	NA	60.48
CENPS-CORT	ENSG00000251503	100526739	APITD1-CORT	CENPS-CORT	1	protein_coding	CENPS-CORT readthrough	47.92
CENPS	ENSG00000175279	378708	APITD1	CENPS	1	protein_coding	centromere protein S	46.89
CORT	ENSG00000241563	1325	CORT	CORT	1	protein_coding	cortistatin	47.16
DFFA	ENSG00000160049	1676	DFFA	DFFA	1	protein_coding	DNA fragmentation factor subunit alpha	48.52
AL354956.1	ENSG00000203469	NA	RP5-1113E3.3	NA	1	antisense	NA	49.62
PEX14	ENSG00000142655	5195	PEX14	PEX14	1	protein_coding	peroxisomal biogenesis factor 14	45.03
CASZ1	ENSG00000130940	54897	CASZ1	CASZ1	1	protein_coding	castor zinc finger 1	56.73
AL139423.1	ENSG00000272078	NA	RP4-734G22.3	NA	1	antisense	NA	61.49
C1orf127	ENSG00000175262	148345	C1orf127	C1orf127	1	protein_coding	chromosome 1 open reading frame 127	52.15
TARDBP	ENSG00000120948	23435	TARDBP	TARDBP	1	protein_coding	TAR DNA binding protein	43.58
AL109811.4	ENSG00000277726	NA	RP4-635E18.9	NA	1	protein_coding	NA	42.91
MASP2	ENSG00000009724	10747	MASP2	MASP2	1	protein_coding	mannan binding lectin serine peptidase 2	50.21
AL109811.3	ENSG00000271895	NA	RP4-635E18.8	NA	1	antisense	NA	42.99
SRM	ENSG00000116649	6723	SRM	SRM	1	protein_coding	spermidine synthase	59.88
EXOSC10	ENSG00000171824	5394	EXOSC10	EXOSC10	1	protein_coding	exosome component 10	46.38
AL109811.1	ENSG00000226849	NA	RP4-635E18.7	NA	1	antisense	NA	50.27
AL109811.2	ENSG00000230337	NA	RP4-635E18.6	NA	1	antisense	NA	52.8
MTOR	ENSG00000198793	2475	MTOR	MTOR	1	protein_coding	mechanistic target of rapamycin kinase	44.54
MTOR-AS1	ENSG00000225602	NA	MTOR-AS1	MTOR-AS1	1	antisense	MTOR antisense RNA 1	45.39
ANGPTL7	ENSG00000171819	10218	ANGPTL7	ANGPTL7	1	protein_coding	angiopoietin like 7	46.39
UBIAD1	ENSG00000120942	29914	UBIAD1	UBIAD1	1	protein_coding	UbiA prenyltransferase domain containing 1	48.21
DISP3	ENSG00000204624	57540	PTCHD2	DISP3	1	protein_coding	dispatched RND transporter family member 3	52.85
LINC01647	ENSG00000235643	NA	RP1-69M21.2	LINC01647	1	lincRNA	long intergenic non-protein coding RNA 1647	52
FBXO2	ENSG00000116661	26232	FBXO2	FBXO2	1	protein_coding	F-box protein 2	55.46
FBXO44	ENSG00000132879	93611	FBXO44	FBXO44	1	protein_coding	F-box protein 44	54.94
FBXO6	ENSG00000116663	26270	FBXO6	FBXO6	1	protein_coding	F-box protein 6	55.28
MAD2L2	ENSG00000116670	10459	MAD2L2	MAD2L2	1	protein_coding	mitotic arrest deficient 2 like 2	53.91
DRAXIN	ENSG00000162490	374946	DRAXIN	DRAXIN	1	protein_coding	dorsal inhibitory axon guidance protein	53.39
AGTRAP	ENSG00000177674	57085	AGTRAP	AGTRAP	1	protein_coding	angiotensin II receptor associated protein	54.37
C1orf167	ENSG00000215910	284498	C1orf167	C1orf167	1	protein_coding	chromosome 1 open reading frame 167	55.19
AL953897.1	ENSG00000177553	NA	RP11-56N19.5	NA	1	antisense	NA	57.26
MTHFR	ENSG00000177000	4524	MTHFR	MTHFR	1	protein_coding	methylenetetrahydrofolate reductase	54.53
CLCN6	ENSG00000011021	1185	CLCN6	CLCN6	1	protein_coding	chloride voltage-gated channel 6	47.79
